"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"ca",1,0.000822226550773955,0.159457396450621,0.0655045287171872,0.147937933544262,0.10998541317354,0.126302163231889,0.1769353566055,0.188564363555336,0.100211767896433,0.006025129557161,0.003951699975156,0.166805748778743,-0.0410107696612632,0.442713754662383,0.0214689074108377,0.0134648886927506,0.114157988191122,0.0813295595930164,0.107900018130955,0.319768121670147,0.114912627839144,-0.0147398994165874,0.0939157240114376,0.0209526755876367,-0.0840714063688072,-0.0199962869523469,0.0366370665485358,0.0534317914143917,0.144826065212443,0.160856065413572,0.0663000362070544,0.0303471004697892,-0.0621289333974797,-0.0308980636670805,-0.0363007016915612,0.0502493880554794,-0.107605108126681,0.00993113086178696
"cl",0.000822226550773955,1,0.155304486758095,0.099894081471931,0.499255309909827,-0.00664227193897242,-0.0642182167875231,-0.108020771392729,-0.0985830584427526,-0.110410455811561,-0.0258739887862815,-0.060641808465483,-0.0912146454812694,0.138157767703835,-0.0683570612059504,0.0569056039799523,-0.131120923119277,-0.0959667846420358,-0.0910736605103594,0.21557977453865,-0.193532235507896,-0.0550273601953713,-0.0674770316854919,0.0796617777189972,-0.1696942524683,-0.0141553279620919,-0.0714688540868821,-0.0208764560730522,-0.0551393924674769,0.0619923484591917,0.0205348302904603,0.0385699997116393,-0.139245565750925,-0.317216452697493,-0.398056393375461,-0.243995114506448,0.0538026578254186,-0.355771202720118,-0.0224572613083187
"k",0.159457396450621,0.155304486758095,1,0.0688863298374955,0.219888492334475,0.0510787177901497,0.0914872486258517,0.0296347647584086,0.0662825008583957,-0.021649605187526,0.0146870444315919,-0.107281191588093,0.0199626015175731,0.153755834727146,0.0723219412911757,0.113041672986658,0.024766367020765,0.0394129593731215,0.110912683363065,0.211686053036659,0.0045407491264672,0.123217668568802,-0.0158856189180446,-0.0175105713131147,0.0140605511662893,-0.00391025083916532,-0.031918138871887,0.0103482818338605,-0.0737536578300812,0.102847540580506,0.0607071253790023,0.106656943190915,-0.00414415891996802,-0.119308427846508,-0.166651044640211,-0.135522631839047,-0.0373092032613038,-0.255906788749583,0.0495384510505142
"mg",0.0655045287171872,0.099894081471931,0.0688863298374955,1,0.0908655322426689,NA,-0.0679828212589965,0.0274346168635909,0.045968821307025,-0.00474520790615678,0.0104263797160571,-0.0511471245421402,0.0180206020872508,0.0377856447320029,0.0712079297206924,0.0483261079823491,-0.0619579181308127,0.0102954662890711,-0.013834031335849,0.0912033489382708,0.0245889565540638,-0.00545986154489543,0.0174728015979504,-0.032274732883933,0.0333023251510244,0.0264507430482184,-0.00363628272696814,0.0232566542049953,0.00855098710440639,0.0357506240154235,0.0364335500734629,0.0115603124479991,-0.010209300833094,-0.0153502196497875,0.00155983746610573,0.00269944997306035,0.0156275458492368,0.000957198419562915,NA
"sodium",0.147937933544262,0.499255309909827,0.219888492334475,0.0908655322426689,1,-0.00567055045190008,0.0927221254085819,0.0487880107321641,0.0947905182565343,-0.0393897005573123,-0.0135983991936437,-0.133350779438556,0.0558333126439746,0.184782416288583,0.165433669611314,0.14306001204634,0.0664625966969184,0.0546263482313318,0.079281451419234,0.483189979853567,0.0281716210723071,0.107025486103174,-0.0863929432075766,0.131125471213619,-0.0557234027297432,-0.110990163870336,-0.192020913191883,-0.0671041761406784,-0.0289162059424787,0.117583628024778,0.0640347944780446,0.0540208252038376,0.0109836554255971,-0.217984863004518,-0.510102910467615,-0.324316253408654,0.0490096233230405,-0.548425076377546,-0.0672681415037269
"p",0.10998541317354,-0.00664227193897242,0.0510787177901497,NA,-0.00567055045190008,1,-0.119069308776456,-0.184385781572508,-0.21038642842062,-0.0719035943929513,0.0512384829320238,0.0365281536478165,-0.221926037503469,0.0558481953498006,-0.0722484360119385,0.0530254647056671,-0.00739425377548865,-0.0175829261756693,-0.0580962056370467,-0.00290828041049201,-0.0658877085287392,-0.105130858847689,0.0605166597640449,-0.0168588900589943,-0.037577734108336,0.0162644110609662,0.156076875210885,0.00193204890207655,0.155228033188231,-0.0191531944437844,0.0552123499664147,-0.0917572510952944,-0.00550867694620241,0.0273363221518642,-0.0227691927468437,0.0393701872765994,-0.0100772005694651,-0.00835370084994498,0.0199062983763605
"ferritin",0.126302163231889,-0.0642182167875231,0.0914872486258517,-0.0679828212589965,0.0927221254085819,-0.119069308776456,1,0.383378718200853,0.349956298673465,0.264929233325588,0.270650136389543,0.199828919629876,0.201423216187168,-0.181484813121659,0.213063518472252,0.056406086268692,0.246501654886807,0.207525962258729,0.344696389005361,0.129539198456358,0.156022897985855,0.311514359892689,-0.0641726877526468,0.0619282020558674,0.0631583604038173,-0.0845112555731215,-0.0240639710437851,0.108914558304002,-0.18169660199205,0.0803412210191623,0.0330105911267832,0.206781331184857,0.0590134553631395,-0.0813790121445222,0.01425206463066,-0.0341567120118591,-0.147087004874361,-0.169487465147804,-0.0467112313272361
"hb",0.1769353566055,-0.108020771392729,0.0296347647584086,0.0274346168635909,0.0487880107321641,-0.184385781572508,0.383378718200853,1,0.957130156360861,0.365304353032928,0.353325536055678,0.415517755096634,0.759615853741113,-0.371529704878085,0.36784229690519,-0.0321243429197908,0.251320567066286,0.173646931888776,0.24215101042244,-0.0241562180073159,0.192215477311353,0.219492259823641,-0.0434879673583386,0.0070191120732042,0.0970648041716362,-0.0326959961678504,0.0303749556272131,0.112748177416516,-0.189007286515933,0.0987986005065261,0.0398339156294904,0.205204934993537,-0.0288555035612298,-0.0249604863166048,0.0956657270031979,0.0131670195661196,-0.0620078896843976,-0.0291080388987831,0.133472005271619
"hct",0.188564363555336,-0.0985830584427526,0.0662825008583957,0.045968821307025,0.0947905182565343,-0.21038642842062,0.349956298673465,0.957130156360861,1,0.310877176792097,0.214744365765088,0.143308468272809,0.813798402860357,-0.28252834898439,0.364060674509746,0.0019896443807508,0.242051350124195,0.17413529369453,0.250960436609461,0.00753953197302807,0.213957657626474,0.226182850382374,-0.0319192909479591,0.0171162178360904,0.11722428218009,-0.0506000094812638,0.0184688358852589,0.0990915367816486,-0.182187574613632,0.102290338998571,0.0410181258587687,0.200828208948685,-0.0181130946203321,-0.016483303495364,0.0823671497329019,0.0153973060735004,-0.0558865223538332,-0.0466054742463305,0.0937992754453547
"iron",0.100211767896433,-0.110410455811561,-0.021649605187526,-0.00474520790615678,-0.0393897005573123,-0.0719035943929513,0.264929233325588,0.365304353032928,0.310877176792097,1,0.306455757638079,0.256183188008923,0.156157959160643,-0.275745715677624,0.201865328614774,-0.125631476396258,0.154709727102337,0.174181302566551,0.100187283439807,0.0106031946293591,0.0958306168965626,0.0661039772824999,0.011130207135987,0.0667370408091302,0.128929157713118,-0.0905481462719335,-0.0838834748621078,0.0301275281583015,0.0857705297760994,2.78047474438587e-05,0.0374233169067236,-0.0411078906343453,0.0160540057640953,0.106112079809505,0.129747909177084,-0.0512827975257353,0.0177357955802451,0.0697078020243982,0.19895615924966
"mch",0.006025129557161,-0.0258739887862815,0.0146870444315919,0.0104263797160571,-0.0135983991936437,0.0512384829320238,0.270650136389543,0.353325536055678,0.214744365765088,0.306455757638079,1,0.56908961343034,-0.32542686094064,-0.448144069805158,0.0730067984327919,-0.0465575504013794,0.0572884905914325,0.0858714488788555,0.0811836233949036,-0.00548517438011306,-0.0581618085200541,0.0180454440104479,-0.0629400121109358,-0.0685592482363677,0.0185873765059158,0.060096118424904,0.0188370195123267,0.0431597058869788,0.0509812927958038,0.00910860978532835,0.041507289367258,-0.0136203464118811,-0.04201453528404,-0.0036006134123291,0.0269488926354595,-0.0739805882976788,-0.0105863471953268,-0.0194402387967327,0.225509096038529
"mchc",0.003951699975156,-0.060641808465483,-0.107281191588093,-0.0511471245421402,-0.133350779438556,0.0365281536478165,0.199828919629876,0.415517755096634,0.143308468272809,0.256183188008923,0.56908961343034,1,0.0420912582249991,-0.43645177906705,0.0960540576210505,-0.112489792421532,0.0836574687643405,0.0318722639540972,0.0253950495382167,-0.109288325838073,-0.0230967153869492,0.0226224466605013,-0.0519780765543093,-0.046290083200659,-0.0535784331726169,0.0680278134069604,0.0360720679316101,0.0729111780484901,-0.0659823152285004,0.0157946654581968,0.00977109934910027,0.0641852225738922,-0.0413615028389623,-0.0310671377732708,0.0644439084862837,-0.00327268094779125,-0.0275927584969739,0.0495375784545743,0.158522627534825
"rbc",0.166805748778743,-0.0912146454812694,0.0199626015175731,0.0180206020872508,0.0558333126439746,-0.221926037503469,0.201423216187168,0.759615853741113,0.813798402860357,0.156157959160643,-0.32542686094064,0.0420912582249991,1,-0.0769688532983714,0.311576998966822,3.34555677435685e-05,0.210773867690968,0.112389359440397,0.186041879724431,-0.0246438916031283,0.229045426167527,0.207792346366341,-0.00103980833648011,0.0459628195044049,0.0797966375089294,-0.0658527617095541,0.0120679078515558,0.0837863164744658,-0.22695014371695,0.0910265724237265,0.0088154862093215,0.21622451791255,-0.00169331391517948,-0.0209794503913411,0.0790066492681442,0.0686310342850493,-0.0544909800375431,-0.0118563679889127,-0.0218098545155479
"rdw",-0.0410107696612632,0.138157767703835,0.153755834727146,0.0377856447320029,0.184782416288583,0.0558481953498006,-0.181484813121659,-0.371529704878085,-0.28252834898439,-0.275745715677624,-0.448144069805158,-0.43645177906705,-0.0769688532983714,1,-0.116467961652388,0.20168988385433,-0.0787439016021086,-0.0134037897607593,0.0459466253737112,0.307227419198588,-0.0345726406916113,0.0932470504441602,-0.0360748584652734,-0.00688552435015004,-0.0315855176892949,0.00636776314493856,-0.000934080462789774,-0.0423809055252336,-0.0023253622518171,0.00451891086278659,-0.00910132715568003,-0.0135169036592796,0.00153869613530298,-0.193630497385808,-0.371226734763437,-0.193465603446335,-0.0448018014294323,-0.387134141703896,-0.21119957888725
"alb",0.442713754662383,-0.0683570612059504,0.0723219412911757,0.0712079297206924,0.165433669611314,-0.0722484360119385,0.213063518472252,0.36784229690519,0.364060674509746,0.201865328614774,0.0730067984327919,0.0960540576210505,0.311576998966822,-0.116467961652388,1,-0.0926772131131149,0.0442270972258596,0.136802840768821,0.0986512404545238,0.192187742418439,0.573770291221572,0.118326118013301,-0.0440637101660872,0.138777841632557,0.0313336826883093,-0.128396835416025,-0.171111671715946,-0.0755380553627727,-0.0261260613047435,0.12642101191128,0.0757963408087282,0.0824049571072806,0.017912483491313,-0.159520643147374,-0.128651723510658,-0.206143110784514,0.0355610174874493,-0.237137948444172,-0.00136155804130873
"alkp",0.0214689074108377,0.0569056039799523,0.113041672986658,0.0483261079823491,0.14306001204634,0.0530254647056671,0.056406086268692,-0.0321243429197908,0.0019896443807508,-0.125631476396258,-0.0465575504013794,-0.112489792421532,3.34555677435685e-05,0.20168988385433,-0.0926772131131149,1,0.0915454060406928,0.11530354856005,0.259136042310576,0.233551455451376,0.057509148315645,0.126986146868505,-0.0345720197519689,-0.0675741625054898,-0.0626864474760044,0.0815632793511763,0.0612992375998779,0.130202623677307,-0.0521818657268954,0.0777767807037602,0.0866927601782747,0.0954561101605222,0.00690507183611114,-0.155516381508372,-0.300946039744251,-0.103063710860337,-0.00704536119188761,-0.307949841697235,-0.0735162968423597
"alt",0.0134648886927506,-0.131120923119277,0.024766367020765,-0.0619579181308127,0.0664625966969184,-0.00739425377548865,0.246501654886807,0.251320567066286,0.242051350124195,0.154709727102337,0.0572884905914325,0.0836574687643405,0.210773867690968,-0.0787439016021086,0.0442270972258596,0.0915454060406928,1,0.697919647663201,0.502399221506188,0.157225610528363,0.0889494719898773,0.176801850066214,0.0694608727062089,0.0969460863620712,0.232468242404242,-0.180805529270577,-0.0935863670458355,0.00225694940445851,-0.117828631959042,-0.0631675258064973,-0.102133171237761,0.0621764699623998,0.249057829094309,0.331218536642038,0.17542878119237,0.111274494474441,-0.0376612443057872,0.127820632873674,-0.00882584316678663
"ast",0.114157988191122,-0.0959667846420358,0.0394129593731215,0.0102954662890711,0.0546263482313318,-0.0175829261756693,0.207525962258729,0.173646931888776,0.17413529369453,0.174181302566551,0.0858714488788555,0.0318722639540972,0.112389359440397,-0.0134037897607593,0.136802840768821,0.11530354856005,0.697919647663201,1,0.390940166285868,0.312178899721519,0.194782288982613,0.16564618277347,0.0844849556034624,0.100578399149747,0.28250215406333,-0.18810852191962,-0.140372706115747,-0.0616536462464517,0.0290704806025981,-0.0799191970703038,-0.0776643606833108,-0.0536990972366129,0.205578082628004,0.288795277171993,0.140274122233552,0.0455923539964402,-0.0401739967073708,0.109018710725057,0.00294954321599218
"ggt",0.0813295595930164,-0.0910736605103594,0.110912683363065,-0.013834031335849,0.079281451419234,-0.0580962056370467,0.344696389005361,0.24215101042244,0.250960436609461,0.100187283439807,0.0811836233949036,0.0253950495382167,0.186041879724431,0.0459466253737112,0.0986512404545238,0.259136042310576,0.502399221506188,0.390940166285868,1,0.155240368599228,0.17265306065737,0.309573062268541,0.0249778657880253,0.0612245276650771,0.106535406312025,-0.10813711047542,0.000483680119287052,0.159846446326778,-0.127465050984328,0.0162918753444192,0.014470355169826,0.149915547672327,0.127836560868166,0.0378290786575369,0.0405293107341759,0.0309579752651144,-0.150468793919741,-0.131543566453643,-0.1497468043031
"ldh",0.107900018130955,0.21557977453865,0.211686053036659,0.0912033489382708,0.483189979853567,-0.00290828041049201,0.129539198456358,-0.0241562180073159,0.00753953197302807,0.0106031946293591,-0.00548517438011306,-0.109288325838073,-0.0246438916031283,0.307227419198588,0.192187742418439,0.233551455451376,0.157225610528363,0.312178899721519,0.155240368599228,1,0.0863986994781138,0.096167492997053,-0.0867742491989611,0.145924394781589,0.0890414424099801,-0.153371634040687,-0.201118357758311,-0.104106700677159,0.0751500678128005,0.0669574185910649,0.0543251932803178,-0.0419268852949478,0.0824108583599072,-0.195157685808092,-0.726998491260147,-0.509473898316889,0.0541247534108783,-0.753640178227399,-0.0418131258612277
"tot_prot",0.319768121670147,-0.193532235507896,0.0045407491264672,0.0245889565540638,0.0281716210723071,-0.0658877085287392,0.156022897985855,0.192215477311353,0.213957657626474,0.0958306168965626,-0.0581618085200541,-0.0230967153869492,0.229045426167527,-0.0345726406916113,0.573770291221572,0.057509148315645,0.0889494719898773,0.194782288982613,0.17265306065737,0.0863986994781138,1,0.171812340130949,0.0100372541473443,0.108696182894044,0.0799852113144477,-0.12733852310137,-0.0783683058873954,-0.00397051941208207,-0.0417525940147258,0.109288474352254,0.077702049622539,0.11368857039703,0.122674202949795,0.0137323515579717,0.049689845108841,0.00994551007068516,0.00771879343499078,-0.013166310369448,-0.192851321528666
"uric_ac",0.114912627839144,-0.0550273601953713,0.123217668568802,-0.00545986154489543,0.107025486103174,-0.105130858847689,0.311514359892689,0.219492259823641,0.226182850382374,0.0661039772824999,0.0180454440104479,0.0226224466605013,0.207792346366341,0.0932470504441602,0.118326118013301,0.126986146868505,0.176801850066214,0.16564618277347,0.309573062268541,0.096167492997053,0.171812340130949,1,0.0174745229629446,-0.0134331184623612,0.0748891133247268,-0.0420121387859587,0.0603705419766197,0.238903328570222,-0.28995323523844,0.0551298443057957,0.00482936672778376,0.281844683245384,-0.0276861434879334,-0.00390304154285557,0.0725355941712956,0.0160425725148485,-0.124174182888961,-0.0945811239244373,-0.0746617589587859
"baso_p",-0.0147398994165874,-0.0674770316854919,-0.0158856189180446,0.0174728015979504,-0.0863929432075766,0.0605166597640449,-0.0641726877526468,-0.0434879673583386,-0.0319192909479591,0.011130207135987,-0.0629400121109358,-0.0519780765543093,-0.00103980833648011,-0.0360748584652734,-0.0440637101660872,-0.0345720197519689,0.0694608727062089,0.0844849556034624,0.0249778657880253,-0.0867742491989611,0.0100372541473443,0.0174745229629446,1,0.0530234579047755,0.103379316106857,-0.160874553750938,-0.100963837318163,-0.00215611689397671,0.0244334349722626,-0.0273118937045697,-0.0132724133520723,-0.0235914206752621,0.0683764745393006,0.164868523488992,0.22918822005992,0.15665756057314,-0.016665332373973,0.228295292157724,-0.018758305732891
"lympho_p",0.0939157240114376,0.0796617777189972,-0.0175105713131147,-0.032274732883933,0.131125471213619,-0.0168588900589943,0.0619282020558674,0.0070191120732042,0.0171162178360904,0.0667370408091302,-0.0685592482363677,-0.046290083200659,0.0459628195044049,-0.00688552435015004,0.138777841632557,-0.0675741625054898,0.0969460863620712,0.100578399149747,0.0612245276650771,0.145924394781589,0.108696182894044,-0.0134331184623612,0.0530234579047755,1,0.00554536777385191,-0.931927953656937,-0.306313726548607,-0.0676305714235776,0.0127705868242484,0.0708796533162137,0.0497317672306705,0.0278262637544064,0.0607638449328658,-0.02244892852395,-0.12856710386561,-0.0498711541167521,0.0605483346654649,-0.112311246926624,-0.173042398375282
"mono_p",0.0209526755876367,-0.1696942524683,0.0140605511662893,0.0333023251510244,-0.0557234027297432,-0.037577734108336,0.0631583604038173,0.0970648041716362,0.11722428218009,0.128929157713118,0.0185873765059158,-0.0535784331726169,0.0797966375089294,-0.0315855176892949,0.0313336826883093,-0.0626864474760044,0.232468242404242,0.28250215406333,0.106535406312025,0.0890414424099801,0.0799852113144477,0.0748891133247268,0.103379316106857,0.00554536777385191,1,-0.225700037458431,-0.163985039384381,-0.0845505241999248,-0.00258582660835967,-0.130730879908903,-0.140623999702863,-0.0707226423500014,0.110513754609546,0.379535599303354,0.319412069275109,0.184295742534437,-0.0500218638958192,0.301030214829163,0.02361948244569
"neut_p",-0.0840714063688072,-0.0141553279620919,-0.00391025083916532,0.0264507430482184,-0.110990163870336,0.0162644110609662,-0.0845112555731215,-0.0326959961678504,-0.0506000094812638,-0.0905481462719335,0.060096118424904,0.0680278134069604,-0.0658527617095541,0.00636776314493856,-0.128396835416025,0.0815632793511763,-0.180805529270577,-0.18810852191962,-0.10813711047542,-0.153371634040687,-0.12733852310137,-0.0420121387859587,-0.160874553750938,-0.931927953656937,-0.225700037458431,1,0.360477030186005,0.102396992228939,0.00051606122926057,-0.01977128958102,0.0106545288765414,-0.00560820092195293,-0.111377667513784,-0.0998942702043407,0.0136453463054253,-0.00927075791580019,-0.0312126320864448,0.0137248961571519,0.150446047441359
"wbc",-0.0199962869523469,-0.0714688540868821,-0.031918138871887,-0.00363628272696814,-0.192020913191883,0.156076875210885,-0.0240639710437851,0.0303749556272131,0.0184688358852589,-0.0838834748621078,0.0188370195123267,0.0360720679316101,0.0120679078515558,-0.000934080462789774,-0.171111671715946,0.0612992375998779,-0.0935863670458355,-0.140372706115747,0.000483680119287052,-0.201118357758311,-0.0783683058873954,0.0603705419766197,-0.100963837318163,-0.306313726548607,-0.163985039384381,0.360477030186005,1,0.284727267735567,-0.115861347045467,-0.0268848770286697,0.0147957405207492,0.123521904654914,-0.0927352166782063,0.0029439386271173,0.157343878928293,0.190722606428674,-0.0925148237736367,0.130973842855223,0.0953454716556348
"trig",0.0366370665485358,-0.0208764560730522,0.0103482818338605,0.0232566542049953,-0.0671041761406784,0.00193204890207655,0.108914558304002,0.112748177416516,0.0990915367816486,0.0301275281583015,0.0431597058869788,0.0729111780484901,0.0837863164744658,-0.0423809055252336,-0.0755380553627727,0.130202623677307,0.00225694940445851,-0.0616536462464517,0.159846446326778,-0.104106700677159,-0.00397051941208207,0.238903328570222,-0.00215611689397671,-0.0676305714235776,-0.0845505241999248,0.102396992228939,0.284727267735567,1,-0.391163866004269,0.218066455777794,0.345572707751652,0.606808183631741,-0.144909846398516,-0.0487796881532471,0.0962215441740935,0.177526783108545,0.00887967683642548,-0.00495266468752633,0.140164805396468
"hdl",0.0534317914143917,-0.0551393924674769,-0.0737536578300812,0.00855098710440639,-0.0289162059424787,0.155228033188231,-0.18169660199205,-0.189007286515933,-0.182187574613632,0.0857705297760994,0.0509812927958038,-0.0659823152285004,-0.22695014371695,-0.0023253622518171,-0.0261260613047435,-0.0521818657268954,-0.117828631959042,0.0290704806025981,-0.127465050984328,0.0751500678128005,-0.0417525940147258,-0.28995323523844,0.0244334349722626,0.0127705868242484,-0.00258582660835967,0.00051606122926057,-0.115861347045467,-0.391163866004269,1,-0.0479827649713276,0.234345092963577,-0.693194061174375,0.0626600207400475,0.0692816563417619,-0.0376839432076747,-0.0620811143531532,0.172406151444173,0.0357190242848955,0.161378002855096
"ldl",0.144826065212443,0.0619923484591917,0.102847540580506,0.0357506240154235,0.117583628024778,-0.0191531944437844,0.0803412210191623,0.0987986005065261,0.102290338998571,2.78047474438587e-05,0.00910860978532835,0.0157946654581968,0.0910265724237265,0.00451891086278659,0.12642101191128,0.0777767807037602,-0.0631675258064973,-0.0799191970703038,0.0162918753444192,0.0669574185910649,0.109288474352254,0.0551298443057957,-0.0273118937045697,0.0708796533162137,-0.130730879908903,-0.01977128958102,-0.0268848770286697,0.218066455777794,-0.0479827649713276,1,0.907086594637257,0.599565230634421,-0.00384688786382366,-0.205232830596275,-0.185953309151194,0.0199645217948861,0.172339530419995,-0.176009366309253,0.0359459159007904
"chol",0.160856065413572,0.0205348302904603,0.0607071253790023,0.0364335500734629,0.0640347944780446,0.0552123499664147,0.0330105911267832,0.0398339156294904,0.0410181258587687,0.0374233169067236,0.041507289367258,0.00977109934910027,0.0088154862093215,-0.00910132715568003,0.0757963408087282,0.0866927601782747,-0.102133171237761,-0.0776643606833108,0.014470355169826,0.0543251932803178,0.077702049622539,0.00482936672778376,-0.0132724133520723,0.0497317672306705,-0.140623999702863,0.0106545288765414,0.0147957405207492,0.345572707751652,0.234345092963577,0.907086594637257,1,0.454112754469707,-0.0168632610355833,-0.163225535723641,-0.146004692818574,0.0597668374768381,0.226898227338201,-0.138542777679853,0.136237734080481
"chol_hdl",0.0663000362070544,0.0385699997116393,0.106656943190915,0.0115603124479991,0.0540208252038376,-0.0917572510952944,0.206781331184857,0.205204934993537,0.200828208948685,-0.0411078906343453,-0.0136203464118811,0.0641852225738922,0.21622451791255,-0.0135169036592796,0.0824049571072806,0.0954561101605222,0.0621764699623998,-0.0536990972366129,0.149915547672327,-0.0419268852949478,0.11368857039703,0.281844683245384,-0.0235914206752621,0.0278262637544064,-0.0707226423500014,-0.00560820092195293,0.123521904654914,0.606808183631741,-0.693194061174375,0.599565230634421,0.454112754469707,1,-0.0585295236386202,-0.15188697564594,-0.0264771530607408,0.139162102582037,-0.0185707858882737,-0.100320041278397,-0.0362038088089883
"vitb12",0.0303471004697892,-0.139245565750925,-0.00414415891996802,-0.010209300833094,0.0109836554255971,-0.00550867694620241,0.0590134553631395,-0.0288555035612298,-0.0181130946203321,0.0160540057640953,-0.04201453528404,-0.0413615028389623,-0.00169331391517948,0.00153869613530298,0.017912483491313,0.00690507183611114,0.249057829094309,0.205578082628004,0.127836560868166,0.0824108583599072,0.122674202949795,-0.0276861434879334,0.0683764745393006,0.0607638449328658,0.110513754609546,-0.111377667513784,-0.0927352166782063,-0.144909846398516,0.0626600207400475,-0.00384688786382366,-0.0168632610355833,-0.0585295236386202,1,0.311794462203429,0.107054528213826,-0.0177526331090093,0.0972153637607596,0.141235416376088,0.0469740410704549
"folate",-0.0621289333974797,-0.317216452697493,-0.119308427846508,-0.0153502196497875,-0.217984863004518,0.0273363221518642,-0.0813790121445222,-0.0249604863166048,-0.016483303495364,0.106112079809505,-0.0036006134123291,-0.0310671377732708,-0.0209794503913411,-0.193630497385808,-0.159520643147374,-0.155516381508372,0.331218536642038,0.288795277171993,0.0378290786575369,-0.195157685808092,0.0137323515579717,-0.00390304154285557,0.164868523488992,-0.02244892852395,0.379535599303354,-0.0998942702043407,0.0029439386271173,-0.0487796881532471,0.0692816563417619,-0.205232830596275,-0.163225535723641,-0.15188697564594,0.311794462203429,1,0.782420115273455,0.462170163759149,0.070908369036026,0.79805780558819,0.177136376605995
"vita",-0.0308980636670805,-0.398056393375461,-0.166651044640211,0.00155983746610573,-0.510102910467615,-0.0227691927468437,0.01425206463066,0.0956657270031979,0.0823671497329019,0.129747909177084,0.0269488926354595,0.0644439084862837,0.0790066492681442,-0.371226734763437,-0.128651723510658,-0.300946039744251,0.17542878119237,0.140274122233552,0.0405293107341759,-0.726998491260147,0.049689845108841,0.0725355941712956,0.22918822005992,-0.12856710386561,0.319412069275109,0.0136453463054253,0.157343878928293,0.0962215441740935,-0.0376839432076747,-0.185953309151194,-0.146004692818574,-0.0264771530607408,0.107054528213826,0.782420115273455,1,0.543043183117498,-0.0660619368232158,0.851777098550915,0.16402637464588
"g_toco",-0.0363007016915612,-0.243995114506448,-0.135522631839047,0.00269944997306035,-0.324316253408654,0.0393701872765994,-0.0341567120118591,0.0131670195661196,0.0153973060735004,-0.0512827975257353,-0.0739805882976788,-0.00327268094779125,0.0686310342850493,-0.193465603446335,-0.206143110784514,-0.103063710860337,0.111274494474441,0.0455923539964402,0.0309579752651144,-0.509473898316889,0.00994551007068516,0.0160425725148485,0.15665756057314,-0.0498711541167521,0.184295742534437,-0.00927075791580019,0.190722606428674,0.177526783108545,-0.0620811143531532,0.0199645217948861,0.0597668374768381,0.139162102582037,-0.0177526331090093,0.462170163759149,0.543043183117498,1,-0.0829168751300398,0.531018974832951,-0.198736461572296
"b_cryp",0.0502493880554794,0.0538026578254186,-0.0373092032613038,0.0156275458492368,0.0490096233230405,-0.0100772005694651,-0.147087004874361,-0.0620078896843976,-0.0558865223538332,0.0177357955802451,-0.0105863471953268,-0.0275927584969739,-0.0544909800375431,-0.0448018014294323,0.0355610174874493,-0.00704536119188761,-0.0376612443057872,-0.0401739967073708,-0.150468793919741,0.0541247534108783,0.00771879343499078,-0.124174182888961,-0.016665332373973,0.0605483346654649,-0.0500218638958192,-0.0312126320864448,-0.0925148237736367,0.00887967683642548,0.172406151444173,0.172339530419995,0.226898227338201,-0.0185707858882737,0.0972153637607596,0.070908369036026,-0.0660619368232158,-0.0829168751300398,1,0.120167828301593,0.0881305874841657
"a_carot",-0.107605108126681,-0.355771202720118,-0.255906788749583,0.000957198419562915,-0.548425076377546,-0.00835370084994498,-0.169487465147804,-0.0291080388987831,-0.0466054742463305,0.0697078020243982,-0.0194402387967327,0.0495375784545743,-0.0118563679889127,-0.387134141703896,-0.237137948444172,-0.307949841697235,0.127820632873674,0.109018710725057,-0.131543566453643,-0.753640178227399,-0.013166310369448,-0.0945811239244373,0.228295292157724,-0.112311246926624,0.301030214829163,0.0137248961571519,0.130973842855223,-0.00495266468752633,0.0357190242848955,-0.176009366309253,-0.138542777679853,-0.100320041278397,0.141235416376088,0.79805780558819,0.851777098550915,0.531018974832951,0.120167828301593,1,0.0700406939437652
"vitd_tot",0.00993113086178696,-0.0224572613083187,0.0495384510505142,NA,-0.0672681415037269,0.0199062983763605,-0.0467112313272361,0.133472005271619,0.0937992754453547,0.19895615924966,0.225509096038529,0.158522627534825,-0.0218098545155479,-0.21119957888725,-0.00136155804130873,-0.0735162968423597,-0.00882584316678663,0.00294954321599218,-0.1497468043031,-0.0418131258612277,-0.192851321528666,-0.0746617589587859,-0.018758305732891,-0.173042398375282,0.02361948244569,0.150446047441359,0.0953454716556348,0.140164805396468,0.161378002855096,0.0359459159007904,0.136237734080481,-0.0362038088089883,0.0469740410704549,0.177136376605995,0.16402637464588,-0.198736461572296,0.0881305874841657,0.0700406939437652,1
