"","hb","hct","rbc","mch","mchc","pltlt","wbc","neut_p","lympho_p","mono_p","ca","sodium","cl","k","chol","trig","glu","alb","alkp","alt","ast","creat","bun_creat","tot_prot"
"hb",1,0.955993011818388,0.779062563414366,0.371399152950574,0.488484213952388,-0.176458062245301,0.0694647799393597,0.0259053857551005,-0.0415628557247088,0.0845388824261144,0.116543739155549,0.0179577209669921,-0.089968128991054,-0.012943457583316,0.0656246771843011,0.147502411955151,0.0634995019623242,0.273026042146875,-0.0817392033675083,0.208713164501255,0.129702987266126,0.0647703768434749,-0.0720670047469557,0.115798426709494
"hct",0.955993011818388,1,0.822148523613209,0.244075956738391,0.222574561537328,-0.153954967909187,0.0812809758551837,0.0224837964191384,-0.0422036454009153,0.099696237292453,0.123322622077219,0.048354482849878,-0.0822468208460685,0.0138483730843124,0.0705533093066261,0.146330259647034,0.0510776283419439,0.253476423133741,-0.0587167187978523,0.181565024218327,0.123830223038621,0.0752456228252534,-0.0731007920217192,0.121164430932854
"rbc",0.779062563414366,0.822148523613209,1,-0.277045728377205,0.153685706313013,-0.0781928643985624,0.0767451975637785,0.00866760677906592,-0.0123400251189442,0.0590825869756088,0.129331939313264,0.0337333387970396,-0.0754232663904142,-0.0227159114303408,0.0527484920383504,0.132400561030705,0.048092583607701,0.231871065296057,-0.0657061076718467,0.17084724275344,0.0895122645812219,0.0386405002432723,-0.0916690957217064,0.154290981471904
"mch",0.371399152950574,0.244075956738391,-0.277045728377205,1,0.550134676803848,-0.180321242902891,-0.0272320139672371,0.0426039208856234,-0.0583272588973954,0.0268983217610784,-0.0250618830160624,-0.0196436598350263,-0.0229315797941508,0.0101033091574169,0.0133878548278251,0.0216253175119322,0.0233575302426053,0.0628442837455484,-0.0239100011399787,0.0601472020094285,0.0637243048160842,0.0382272924376109,0.0268619158573788,-0.0574994349379213
"mchc",0.488484213952388,0.222574561537328,0.153685706313013,0.550134676803848,1,-0.156503221041886,-0.0355015530570981,0.0393233717102303,-0.0273789560276621,-0.0365352850750856,0.014130338029735,-0.0874717380516198,-0.0563367059068041,-0.0851601948825579,0.0086154001204603,0.0468975413436644,0.0572871913280743,0.138365955246949,-0.0887132913489746,0.139805700422532,0.0514112955605365,-0.0190218870750427,-0.0152501099227774,0.0194742231653608
"pltlt",-0.176458062245301,-0.153954967909187,-0.0781928643985624,-0.180321242902891,-0.156503221041886,1,0.252825528071051,0.0142026285757003,0.00227819376673285,-0.0220792926674951,0.0725938255079767,-0.0885886375739651,-0.0920877285161766,0.059153932047225,0.176468266262248,0.0707971042533081,-0.0432190862735895,0.0271476222861262,0.0617690633361582,-0.0556202066821636,-0.124931853119758,-0.196895275022845,0.0487047605797873,0.12679608403322
"wbc",0.0694647799393597,0.0812809758551837,0.0767451975637785,-0.0272320139672371,-0.0355015530570981,0.252825528071051,1,0.256154842534875,-0.194574432990217,-0.131402625541583,0.0192335127440453,-0.062238567338531,-0.0311718038358736,0.0504471409885195,0.00413632674112476,0.244076678259974,0.106264499433587,0.00846483632348153,0.0990512093277792,-0.0693804084339366,-0.103332201999814,0.0460085751834539,0.112157688705123,0.0398873452916307
"neut_p",0.0259053857551005,0.0224837964191384,0.00866760677906592,0.0426039208856234,0.0393233717102303,0.0142026285757003,0.256154842534875,1,-0.930559579416353,-0.187705915758641,-0.0546137535962158,-0.00578910671874266,0.0372461318316885,0.0603956778133653,0.00829098538489487,0.05457470966146,0.103563169448481,-0.012410941058244,0.15097311721582,-0.182788078989276,-0.186767984300322,0.0282616662323371,0.212752427606997,-0.0526193425031979
"lympho_p",-0.0415628557247088,-0.0422036454009153,-0.0123400251189442,-0.0583272588973954,-0.0273789560276621,0.00227819376673285,-0.194574432990217,-0.930559579416353,1,-0.0227184358058338,0.0832763856454466,0.0190936893767144,0.0165804194785995,-0.0719455842629781,0.063151031031013,-0.0119816406060667,-0.0871425714651082,0.0429862697795515,-0.132714423399728,0.101887738042058,0.0967327639548147,-0.0893933465620445,-0.119474461179493,0.0449463570662032
"mono_p",0.0845388824261144,0.099696237292453,0.0590825869756088,0.0268983217610784,-0.0365352850750856,-0.0220792926674951,-0.131402625541583,-0.187705915758641,-0.0227184358058338,1,0.00225626478204585,-0.0244956455865785,-0.124199620121668,0.00738724112677223,-0.148602507296211,-0.0913441111205071,-0.0677731282074469,0.00438322765543164,-0.0747703930358172,0.226686142214384,0.283504286497396,0.0758895151113107,-0.28548967359019,0.0381174809779481
"ca",0.116543739155549,0.123322622077219,0.129331939313264,-0.0250618830160624,0.014130338029735,0.0725938255079767,0.0192335127440453,-0.0546137535962158,0.0832763856454466,0.00225626478204585,1,0.124836411100317,-0.0186207755378425,0.123411012935601,0.195763230407138,0.119528234376104,0.0877275860486086,0.401492496582783,0.0298521365310627,0.00641181297487431,0.111377835372846,0.034044111594213,0.036827126313774,0.296818343848317
"sodium",0.0179577209669921,0.048354482849878,0.0337333387970396,-0.0196436598350263,-0.0874717380516198,-0.0885886375739651,-0.062238567338531,-0.00578910671874266,0.0190936893767144,-0.0244956455865785,0.124836411100317,1,0.490398759993868,0.0810661540672796,0.00492149691727244,-0.00115922136316385,-0.0191661969225198,-0.00683348255972546,-0.00352769825444924,0.0285176909582502,0.0152447213115141,0.106565903397227,-0.0531297824806516,-0.0735534842120274
"cl",-0.089968128991054,-0.0822468208460685,-0.0754232663904142,-0.0229315797941508,-0.0563367059068041,-0.0920877285161766,-0.0311718038358736,0.0372461318316885,0.0165804194785995,-0.124199620121668,-0.0186207755378425,0.490398759993868,1,0.13234628488545,8.56115008552776e-05,0.0185445309233319,-0.0571764561021366,-0.12580978808545,-0.00696914696299748,-0.142006037143685,-0.107026946892665,7.50632012403722e-05,0.137473071867805,-0.200027288730139
"k",-0.012943457583316,0.0138483730843124,-0.0227159114303408,0.0101033091574169,-0.0851601948825579,0.059153932047225,0.0504471409885195,0.0603956778133653,-0.0719455842629781,0.00738724112677223,0.123411012935601,0.0810661540672796,0.13234628488545,1,0.0463986708951587,0.051045778573518,0.111760586927586,-0.0568551740633023,0.0730980516000792,-0.0148125937849627,0.0113745927128936,0.166830669713058,0.0213696210779588,-0.0648029915598954
"chol",0.0656246771843011,0.0705533093066261,0.0527484920383504,0.0133878548278251,0.0086154001204603,0.176468266262248,0.00413632674112476,0.00829098538489487,0.063151031031013,-0.148602507296211,0.195763230407138,0.00492149691727244,8.56115008552776e-05,0.0463986708951587,1,0.321706948879825,-0.0061023386774354,0.187362418644168,0.0355477061763265,-0.159240813435895,-0.118548275866332,-0.104072153629575,0.214863268735737,0.163621014212813
"trig",0.147502411955151,0.146330259647034,0.132400561030705,0.0216253175119322,0.0468975413436644,0.0707971042533081,0.244076678259974,0.05457470966146,-0.0119816406060667,-0.0913441111205071,0.119528234376104,-0.00115922136316385,0.0185445309233319,0.051045778573518,0.321706948879825,1,0.215089216260579,0.0964659407951992,0.108179718335072,-0.0463598674285913,-0.0944956311459289,0.0777199996540363,0.152978945999125,0.0980748945998602
"glu",0.0634995019623242,0.0510776283419439,0.048092583607701,0.0233575302426053,0.0572871913280743,-0.0432190862735895,0.106264499433587,0.103563169448481,-0.0871425714651082,-0.0677731282074469,0.0877275860486086,-0.0191661969225198,-0.0571764561021366,0.111760586927586,-0.0061023386774354,0.215089216260579,1,-0.0239245526827281,0.102529183459508,0.045781100248904,-0.104443206501589,0.0843396497582881,0.0539084282262158,0.0298263890805558
"alb",0.273026042146875,0.253476423133741,0.231871065296057,0.0628442837455484,0.138365955246949,0.0271476222861262,0.00846483632348153,-0.012410941058244,0.0429862697795515,0.00438322765543164,0.401492496582783,-0.00683348255972546,-0.12580978808545,-0.0568551740633023,0.187362418644168,0.0964659407951992,-0.0239245526827281,1,-0.0983256163167564,-0.0384632705814859,0.0945821956617011,-0.0641897843563365,0.154201792574879,0.618317174947765
"alkp",-0.0817392033675083,-0.0587167187978523,-0.0657061076718467,-0.0239100011399787,-0.0887132913489746,0.0617690633361582,0.0990512093277792,0.15097311721582,-0.132714423399728,-0.0747703930358172,0.0298521365310627,-0.00352769825444924,-0.00696914696299748,0.0730980516000792,0.0355477061763265,0.108179718335072,0.102529183459508,-0.0983256163167564,1,-0.0276750683815031,0.0112954959434831,0.0163553837615025,0.0901010248380048,0.0508177277389424
"alt",0.208713164501255,0.181565024218327,0.17084724275344,0.0601472020094285,0.139805700422532,-0.0556202066821636,-0.0693804084339366,-0.182788078989276,0.101887738042058,0.226686142214384,0.00641181297487431,0.0285176909582502,-0.142006037143685,-0.0148125937849627,-0.159240813435895,-0.0463598674285913,0.045781100248904,-0.0384632705814859,-0.0276750683815031,1,0.65860743329948,0.105334764702347,-0.49466413316192,0.00565984634282331
"ast",0.129702987266126,0.123830223038621,0.0895122645812219,0.0637243048160842,0.0514112955605365,-0.124931853119758,-0.103332201999814,-0.186767984300322,0.0967327639548147,0.283504286497396,0.111377835372846,0.0152447213115141,-0.107026946892665,0.0113745927128936,-0.118548275866332,-0.0944956311459289,-0.104443206501589,0.0945821956617011,0.0112954959434831,0.65860743329948,1,0.0903277159502589,-0.374828504435763,0.157899162305295
"creat",0.0647703768434749,0.0752456228252534,0.0386405002432723,0.0382272924376109,-0.0190218870750427,-0.196895275022845,0.0460085751834539,0.0282616662323371,-0.0893933465620445,0.0758895151113107,0.034044111594213,0.106565903397227,7.50632012403722e-05,0.166830669713058,-0.104072153629575,0.0777199996540363,0.0843396497582881,-0.0641897843563365,0.0163553837615025,0.105334764702347,0.0903277159502589,1,-0.310772915765837,-0.0189974189800202
"bun_creat",-0.0720670047469557,-0.0731007920217192,-0.0916690957217064,0.0268619158573788,-0.0152501099227774,0.0487047605797873,0.112157688705123,0.212752427606997,-0.119474461179493,-0.28548967359019,0.036827126313774,-0.0531297824806516,0.137473071867805,0.0213696210779588,0.214863268735737,0.152978945999125,0.0539084282262158,0.154201792574879,0.0901010248380048,-0.49466413316192,-0.374828504435763,-0.310772915765837,1,0.0726444738841106
"tot_prot",0.115798426709494,0.121164430932854,0.154290981471904,-0.0574994349379213,0.0194742231653608,0.12679608403322,0.0398873452916307,-0.0526193425031979,0.0449463570662032,0.0381174809779481,0.296818343848317,-0.0735534842120274,-0.200027288730139,-0.0648029915598954,0.163621014212813,0.0980748945998602,0.0298263890805558,0.618317174947765,0.0508177277389424,0.00565984634282331,0.157899162305295,-0.0189974189800202,0.0726444738841106,1
